area_id,area_name,area_type,year,female_full_time_median_earnings,female_median_earnings,male_full_time_median_earnings,male_median_earnings,median_earnings,median_earnings_bachelor_degree,median_earnings_graduate_or_professional_degree,median_earnings_high_school,median_earnings_less_than_high_school,median_earnings_some_college_or_associates,percent_with_earnings_10000_to_14999,percent_with_earnings_15000_to_24999,percent_with_earnings_1_to_9999,percent_with_earnings_25000_to_34999,percent_with_earnings_35000_to_49999,percent_with_earnings_50000_to_64999,percent_with_earnings_65000_to_74999,percent_with_earnings_75000_to_99999,percent_with_earnings_over_100000
1600000US5404876,Bath- WV,region.place,2013,27424,26061,38766,37896,29107,27054,44333,30278,16429,38300,2,14.3,3.1,17.3,43.2,4.4,2.7,6.5,6.5
1600000US5468260,Ridgeley- WV,region.place,2013,26304,18194,80456,40938,25179,48571,44167,25063,0,25781,13.4,8.7,0.9,22.9,20.3,1.3,1.3,28.1,3
1600000US5484484,War- WV,region.place,2013,24250,18750,57212,55577,29531,35625,0,35250,28125,57614,14.4,18.2,0,9.1,18.2,23.5,7.6,9.1,0
1600000US5429044,Franklin- WV,region.place,2013,24345,21458,55208,44559,25670,50417,30781,25156,4167,27250,9,23.8,0,15.2,14.3,20.2,4.9,6.3,6.3
1600000US5404204,Bancroft- WV,region.place,2013,52596,19886,73750,80353,54615,80577,108604,30625,0,58571,0,9.2,3.6,12.3,15.4,15.9,3.6,5.6,34.4
1600000US5420428,Davis- WV,region.place,2013,30391,21458,40909,34922,26125,45536,47656,21071,6250,35625,10,20.3,1.1,19.9,23,9.2,8.8,2.7,5
1600000US5454100,Mill Creek- WV,region.place,2013,32031,24688,31034,28558,27500,41250,0,27656,15469,38500,9.1,21,1.8,28.3,21.5,10.5,5,2.7,0
1600000US5430364,Gauley Bridge- WV,region.place,2013,22188,19609,40909,35000,23984,41786,0,25536,31818,41250,0,43.2,3.8,15.5,16.4,4.7,2.8,4.7,8.9
1600000US5435500,Hartford City- WV,region.place,2013,41667,17841,28333,29167,22946,54167,0,22778,4750,43750,4.7,33.5,5.9,5.3,20.6,13.5,9.4,2.9,4.1
1600000US5473876,Shrewsbury- WV,region.place,2013,35893,26250,40500,36750,29450,36563,0,26477,0,29531,0,19.5,0,15.9,36.7,7.5,7.5,8.8,4
1600000US5406988,Beverly- WV,region.place,2013,34844,25114,33750,27250,25781,45938,49167,25227,6250,24063,7.3,23,4.4,16.4,28.1,8.4,0,4.7,7.7
1600000US5437444,Hilltop- WV,region.place,2013,25820,25820,30521,30347,28125,0,0,30556,0,0,0,26.7,0,64,9.3,0,0,0,0
1600000US5413756,Cassville- WV,region.place,2013,35284,35284,32763,28259,29107,41750,0,23152,0,33750,0,21.5,3.1,37.5,20.3,15.3,2.3,0,0
1600000US5414692,Chattaroy- WV,region.place,2013,25417,23362,86607,32115,25227,0,0,29286,0,61406,4.1,22.2,8.2,22.2,6.7,8.8,4.6,16.5,6.7
1600000US5460628,Omar- WV,region.place,2013,28182,4583,29345,29000,27835,0,0,29083,0,26771,0,31.3,0,31.3,31.3,0,0,6.1,0
1600000US5432884,Grantsville- WV,region.place,2013,50156,28750,50000,20909,25147,32500,0,47813,20313,22386,5,11.9,0,26.7,4,52.5,0,0,0
1600000US5452324,Matewan- WV,region.place,2013,24625,18750,49777,48259,25625,30673,0,25833,0,20625,13.9,15.4,7.7,17.8,14.9,14.4,1.4,4.3,10.1
1600000US5481940,Union- WV,region.place,2013,24375,15563,32500,24063,20551,63958,4511,17875,18750,21538,10.8,27.3,5,15.8,23.7,7.9,7.2,2.2,0
1600000US5476084,Springfield- WV,region.place,2013,22313,10134,26993,26284,21354,0,0,25304,0,35972,0,39.5,0,32.1,21.6,0,0,0,6.8
1600000US5405452,Beech Bottom- WV,region.place,2013,30577,19904,34844,32981,27188,21667,0,26875,33750,30694,2.4,21,0,35.3,21,9,7.8,3.6,0
1600000US5482564,Valley Bend- WV,region.place,2013,36146,35677,63819,63819,48750,0,0,48984,0,50625,0,14.7,0,6.1,31.3,19.6,12.9,15.3,0
1600000US5462332,Paw Paw- WV,region.place,2013,20521,15592,41250,34375,21510,0,0,30536,27917,20000,0,26.5,10.3,30.8,6,17.1,6.8,2.6,0
1600000US5471476,Salt Rock- WV,region.place,2013,0,24137,51339,31422,30119,0,0,23065,0,86339,0,27.1,0,18.7,7.7,9,0,27.1,10.3
1600000US5435596,Harts- WV,region.place,2013,16518,16518,52898,52898,17460,0,0,37396,0,0,0,50.8,0,0,9.8,18,0,21.3,0
1600000US5441010,Jefferson- WV,region.place,2013,20000,21607,34821,33125,29412,0,0,34286,6750,28162,8.6,19.7,6.6,30.3,20.4,0,14.5,0,0
1600000US5449732,McConnell- WV,region.place,2013,0,0,70521,41563,41875,0,0,32563,0,56333,0,0,0,15.9,26.2,11.9,9.5,12.7,23.8
1600000US5486620,White Hall- WV,region.place,2013,40000,30000,53021,44583,34602,43333,70938,35625,67500,33864,7.5,8.6,1.2,14.9,16.9,25.5,10.6,5.9,9
