area_id,area_name,area_type,year,percent_associates_degree,percent_bachelors_degree_or_higher,percent_graduate_or_professional_degree,percent_high_school_graduate_or_higher,percent_less_than_9th_grade
1600000US0256600,Nunam Iqua- AK,region.place,2013,0,6.9,4.2,75,8.3
1600000US0250800,Mosquito Lake- AK,region.place,2013,0,10.1,0,87.4,0
1600000US0240840,Kobuk- AK,region.place,2013,0,0,0,73.5,12.2
1600000US0263280,Port Graham- AK,region.place,2013,0,9.5,8.3,84.5,7.1
1600000US0276590,Tetlin- AK,region.place,2013,6.9,3.4,3.4,77.6,10.3
1600000US0217670,Covenant Life- AK,region.place,2013,0,60.6,9.9,100,0
1600000US0203990,Arctic Village- AK,region.place,2013,4.3,4.3,2.9,76.8,7.2
1600000US0232810,Hollis- AK,region.place,2013,8.3,40.7,12,90.7,0
1600000US0229180,Golovin- AK,region.place,2013,3,0,0,87.9,6.1
1600000US0243810,Levelock- AK,region.place,2013,0,2,2,95.9,2
1600000US0260200,Perryville- AK,region.place,2013,0,4,4,74,14
1600000US0251455,Mud Bay- AK,region.place,2013,0,73,6.6,94.3,0
1600000US0217850,Crooked Creek- AK,region.place,2013,0,0,0,85.7,9.5
1600000US0216360,Coffman Cove- AK,region.place,2013,5.6,7.4,0,92.6,0
1600000US0282860,Wales- AK,region.place,2013,0,4.5,0,62.7,16.4
1600000US0230500,Gulkana- AK,region.place,2013,6.1,12.2,7.3,78,7.3
1600000US0215320,Clam Gulch- AK,region.place,2013,7.9,10.9,6.9,89.1,10.9
1600000US0256220,Northway- AK,region.place,2013,0,32.4,0,91.9,0
1600000US0214000,Chistochina- AK,region.place,2013,4.4,9.9,9.9,63.7,18.7
1600000US0240510,Klukwan- AK,region.place,2013,1.3,30.7,8,85.3,6.7
1600000US0200065,Adak- AK,region.place,2013,7.2,10.8,9.6,97.6,0
1600000US0211690,Central- AK,region.place,2013,0,15.6,4.4,91.1,4.4
1600000US0220380,Eagle- AK,region.place,2013,2.6,11.5,0,80.8,2.6
1600000US0276260,Tenakee Springs- AK,region.place,2013,2.4,33.3,4.8,90.5,6
1600000US0242050,Koyukuk- AK,region.place,2013,6.3,4.7,3.1,79.7,9.4
1600000US0219060,Diomede- AK,region.place,2013,0,0,0,69,7.1
1600000US0214880,Circle- AK,region.place,2013,0,0,0,60.8,0
1600000US0214330,Chuathbaluk- AK,region.place,2013,10.2,6.1,0,83.7,2
1600000US0213550,Chignik- AK,region.place,2013,5.5,12.7,3.6,87.3,7.3
1600000US0245790,McCarthy- AK,region.place,2013,0,23.5,0,67.6,25
1600000US0203880,Anvik- AK,region.place,2013,0,8,0,84,16
1600000US0205750,Beaver- AK,region.place,2013,2.8,8.3,4.2,76.4,13.9
1600000US0241280,Kokhanok- AK,region.place,2013,5.3,17.5,0,86,7
1600000US0218510,Deering- AK,region.place,2013,7.5,13.2,9.4,84.9,7.5
1600000US0217960,Crown Point- AK,region.place,2013,0,78.6,0,100,0
1600000US0235120,Iliamna- AK,region.place,2013,10.2,18.6,13.6,83.1,6.8
1600000US0271090,Sleetmute- AK,region.place,2013,0,13.1,8.2,72.1,14.8
1600000US0279780,Twin Hills- AK,region.place,2013,0,4.3,0,73.9,17.4
1600000US0252915,Nelchina- AK,region.place,2013,0,0,0,100,0
1600000US0212970,Chenega- AK,region.place,2013,11.1,11.1,0,100,0
1600000US0215430,Clark's Point- AK,region.place,2013,0,0,0,75,11.4
1600000US0258330,Oscarville- AK,region.place,2013,0,2.1,0,59.6,21.3
1600000US0234570,Hyder- AK,region.place,2013,11.1,54.3,0,95.1,0
1600000US0246780,Manley Hot Springs- AK,region.place,2013,3.8,13.5,0,78.8,7.7
1600000US0243040,Larsen Bay- AK,region.place,2013,0,3.7,0,87,9.3
1600000US0268670,Shageluk- AK,region.place,2013,0,4.1,0,75.5,10.2
1600000US0213670,Chignik Lagoon- AK,region.place,2013,0,28.6,8.2,83.7,0
1600000US0220020,Dry Creek- AK,region.place,2013,0,23.1,23.1,100,0
1600000US0253162,New Allakaket- AK,region.place,2013,0,0,0,62.8,25.6
1600000US0256260,Northway Village- AK,region.place,2013,0,0,0,44.4,42.2
1600000US0263390,Port Heiden- AK,region.place,2013,4.9,22,12.2,85.4,2.4
1600000US0233580,Hope- AK,region.place,2013,0,25.6,0,100,0
1600000US0254150,Nikolai- AK,region.place,2013,0,0,0,68.1,8.5
1600000US0273290,Stevens Village- AK,region.place,2013,0,0,0,67.9,14.3
1600000US0201860,Allakaket- AK,region.place,2013,4.9,7.3,4.9,63.4,24.4
1600000US0278350,Tonsina- AK,region.place,2013,0,0,0,100,0
1600000US0211800,Chalkyitsik- AK,region.place,2013,3.1,12.5,6.3,87.5,12.5
1600000US0245295,Lowell Point- AK,region.place,2013,0,0,0,100,0
1600000US0201560,Aleneva- AK,region.place,2013,0,0,0,0,44.4
1600000US0275380,Tatitlek- AK,region.place,2013,0,6.7,0,80,10
1600000US0265800,St. George- AK,region.place,2013,0,11.7,0,71.7,28.3
1600000US0261080,Platinum- AK,region.place,2013,0,0,0,61.1,27.8
1600000US0214110,Chitina- AK,region.place,2013,0,11.4,0,80,11.4
1600000US0233910,Hughes- AK,region.place,2013,10.3,0,0,82.1,17.9
1600000US0259650,Pelican- AK,region.place,2013,0,28.9,6.7,91.1,6.7
1600000US0204210,Atka- AK,region.place,2013,0,12,12,92,8
1600000US0213780,Chignik Lake- AK,region.place,2013,0,8.3,5.6,77.8,8.3
1600000US0272190,South Naknek- AK,region.place,2013,2,13.7,3.9,84.3,9.8
1600000US0221150,Egegik- AK,region.place,2013,0,4.3,0,85.1,6.4
1600000US0216530,Cold Bay- AK,region.place,2013,20,17.8,0,97.8,0
1600000US0264240,Primrose- AK,region.place,2013,18.5,11.1,0,100,0
1600000US0284200,Whitestone Logging Camp- AK,region.place,2013,0,0,0,72.7,27.3
1600000US0273400,Stony River- AK,region.place,2013,0,0,0,64.3,7.1
1600000US0285290,Willow Creek- AK,region.place,2013,0,0,0,100,0
1600000US0252845,Naukati Bay- AK,region.place,2013,24.4,0,0,77.8,0
1600000US0237650,Kasaan- AK,region.place,2013,6.1,21.2,6.1,97,3
1600000US0261190,Point Baker- AK,region.place,2013,0,0,0,100,0
1600000US0219750,Dot Lake Village- AK,region.place,2013,0,0,0,91.3,0
1600000US0256250,Northway Junction- AK,region.place,2013,0,10.7,0,89.3,10.7
1600000US0274610,Takotna- AK,region.place,2013,10,0,0,85,10
1600000US0252940,Nelson Lagoon- AK,region.place,2013,0,5.4,0,67.6,13.5
1600000US0260640,Pilot Point- AK,region.place,2013,0,13.8,3.4,51.7,17.2
1600000US0263170,Port Clarence- AK,region.place,2013,0,0,0,100,0
1600000US0262510,Port Alexander- AK,region.place,2013,28.6,0,0,100,0
1600000US0263870,Port Protection- AK,region.place,2013,0,12.2,0,100,0
1600000US0254260,Nikolski- AK,region.place,2013,0,4.2,0,91.7,8.3
1600000US0284000,Whale Pass- AK,region.place,2013,0,0,0,100,0
1600000US0222140,Elfin Cove- AK,region.place,2013,0,6.3,0,100,0
1600000US0242160,Kupreanof- AK,region.place,2013,13.6,63.6,9.1,100,0
1600000US0242805,Lake Louise- AK,region.place,2013,18.2,0,0,69.7,30.3
1600000US0264930,Red Devil- AK,region.place,2013,0,0,0,64.7,23.5
1600000US0259320,Paxson- AK,region.place,2013,0,21.4,0,100,0
1600000US0234790,Igiugig- AK,region.place,2013,12.5,0,0,100,0
1600000US0227700,Game Creek- AK,region.place,2013,54.5,45.5,0,100,0
1600000US0280100,Ugashik- AK,region.place,2013,3.3,53.3,40,100,0
1600000US0226835,Four Mile Road- AK,region.place,2013,0,0,0,81.8,18.2
1600000US0244580,Livengood- AK,region.place,2013,3.4,6.9,0,100,0
1600000US0223900,Excursion Inlet- AK,region.place,2013,33.3,33.3,0,66.7,0
1600000US0201390,Alcan Border- AK,region.place,2013,0,0,0,100,0
1600000US0259540,Pedro Bay- AK,region.place,2013,0,18.8,0,68.8,6.3
1600000US0270870,Skwentna- AK,region.place,2013,0,0,0,100,0
1600000US0400940,Ak Chin- AZ,region.place,2013,25,0,0,100,0
1600000US0220600,Eagle Village- AK,region.place,2013,0,16.7,16.7,79.2,0
1600000US0244030,Lime Village- AK,region.place,2013,0,7.7,0,38.5,15.4
1600000US0231270,Halibut Cove- AK,region.place,2013,5,70,55,100,0
1600000US0264820,Rampart- AK,region.place,2013,0,0,0,20,15
1600000US0223790,Evansville- AK,region.place,2013,11.1,16.7,0,88.9,11.1
1600000US0206630,Bettles- AK,region.place,2013,0,42.1,10.5,100,0
1600000US0220970,Edna Bay- AK,region.place,2013,0,0,0,100,0
1600000US0237540,Karluk- AK,region.place,2013,0,0,0,81.8,9.1
1600000US0273950,Sunrise- AK,region.place,2013,37.5,62.5,0,100,0
1600000US0245700,Lutak- AK,region.place,2013,0,0,0,100,0
1600000US0242820,Lake Minchumina- AK,region.place,2013,0,20,0,70,0
1600000US0224660,False Pass- AK,region.place,2013,15.4,15.4,7.7,100,0
1600000US0248200,Mendeltna- AK,region.place,2013,0,100,100,100,0
1600000US0212350,Chase- AK,region.place,2013,0,0,0,100,0
1600000US0204670,Attu Station- AK,region.place,2013,0,0,0,100,0
